diameter_nm,na,status,mode_returned,sphere_mie_used,tmatrix_used,tmatrix_backend_required,scattering_branch,lateral_response_model,particle_lateral_scattering_enters_profile,sample_arm_spectral_cube_shape,sample_arm_spectral_cube_contract_status,fd_oct_measurement_scaffold_route_available,peakline_x_um,lateral_fwhm_um,lateral_centroid_um,axial_fwhm_opd_um,axial_peak_opd_um,main_to_sidelobe_rejection_db,raw_peak_intensity,paper_safe
200.0,0.05,ok,full_na_scalar_fixed_basis,True,False,False,sphere_mie_full_na,sphere_mie_angle_resolved_pupil_field,True,"[41, 81]",valid_lambda_x_complex_field,True,0.0,8.0,-1.773554370685786e-06,5.714375332486749,-0.19999999999999574,26.268875178280556,0.014337781804444947,False
500.0,0.05,ok,full_na_scalar_fixed_basis,True,False,False,sphere_mie_full_na,sphere_mie_angle_resolved_pupil_field,True,"[41, 81]",valid_lambda_x_complex_field,True,0.0,8.0,-6.8063379718729e-08,5.732058029804423,-1.0,25.612065498999495,0.3036832034907422,False
1000.0,0.05,ok,full_na_scalar_fixed_basis,True,False,False,sphere_mie_full_na,sphere_mie_angle_resolved_pupil_field,True,"[41, 81]",valid_lambda_x_complex_field,True,0.0,8.0,-6.195193756675924e-06,6.103160617145909,-3.1999999999999957,21.086515844468543,10.423934199378543,False
