diameter_nm,na,status,mode_returned,sphere_mie_used,tmatrix_used,tmatrix_backend_required,scattering_branch,lateral_response_model,particle_lateral_scattering_enters_profile,sample_arm_spectral_cube_shape,sample_arm_spectral_cube_contract_status,fd_oct_measurement_scaffold_route_available,peakline_x_um,lateral_fwhm_um,lateral_centroid_um,axial_fwhm_opd_um,axial_peak_opd_um,main_to_sidelobe_rejection_db,raw_peak_intensity,paper_safe,ideal_reference_available,ideal_reference_scattering_branch,ideal_reference_sample_arm_spectral_cube_contract_status,psf_bias_against_ideal_reference_status,ideal_reference_peakline_x_um,peakline_x_delta_um_vs_ideal,ideal_reference_self_peak_lateral_fwhm_um,ideal_reference_self_peak_lateral_centroid_um,self_peak_lateral_fwhm_delta_um_vs_ideal,self_peak_lateral_centroid_delta_um_vs_ideal,self_peak_lateral_profile_relative_l2_vs_ideal,ideal_peak_plane_z_index,ideal_peak_plane_particle_lateral_peak_x_um,ideal_peak_plane_lateral_fwhm_um,ideal_peak_plane_lateral_centroid_um,ideal_peak_plane_peak_x_delta_um_vs_ideal,ideal_peak_plane_lateral_fwhm_delta_um_vs_ideal,ideal_peak_plane_lateral_centroid_delta_um_vs_ideal,ideal_peak_plane_lateral_profile_relative_l2_vs_ideal,normalized_image_relative_l2_vs_ideal,config_id,n_lambda,n_z,n_x,n_bfp_dense,work_units,reference_config_id,convergence_reference_available,peakline_x_delta_um_vs_ideal_drift_vs_reference,peakline_x_delta_um_vs_ideal_abs_drift_vs_reference,self_peak_lateral_fwhm_delta_um_vs_ideal_drift_vs_reference,self_peak_lateral_fwhm_delta_um_vs_ideal_abs_drift_vs_reference,self_peak_lateral_centroid_delta_um_vs_ideal_drift_vs_reference,self_peak_lateral_centroid_delta_um_vs_ideal_abs_drift_vs_reference,ideal_peak_plane_lateral_profile_relative_l2_vs_ideal_drift_vs_reference,ideal_peak_plane_lateral_profile_relative_l2_vs_ideal_abs_drift_vs_reference,normalized_image_relative_l2_vs_ideal_drift_vs_reference,normalized_image_relative_l2_vs_ideal_abs_drift_vs_reference
200.0,0.05,ok,full_na_scalar_fixed_basis,True,False,False,sphere_mie_full_na,sphere_mie_angle_resolved_pupil_field,True,"[11, 31]",valid_lambda_x_complex_field,True,0.0,8.0,2.16157653757494e-05,5.737985542085837,0.0,0.24426700445834743,0.014174974064896565,False,True,ideal_uniform_pupil_reference,valid_lambda_x_complex_field,computed_against_ideal_full_na_reference,0.0,0.0,8.0,-1.6537782376196545e-16,0.0,2.161576537591478e-05,0.0005733992708869438,50,0.0,8.0,2.16157653757494e-05,0.0,0.0,2.161576537591478e-05,0.0005733992708869438,0.0471760021092213,coarse,11,101,31,21,723261,reference,True,0.0,0.0,0.0,0.0,1.2206417725721761e-05,1.2206417725721761e-05,6.061502204512807e-06,6.061502204512807e-06,-0.004398659549898459,0.004398659549898459
500.0,0.05,ok,full_na_scalar_fixed_basis,True,False,False,sphere_mie_full_na,sphere_mie_angle_resolved_pupil_field,True,"[11, 31]",valid_lambda_x_complex_field,True,0.0,8.0,2.8653710773145257e-05,5.768008862993524,-0.7999999999999972,0.1465895409524061,0.29898729944388214,False,True,ideal_uniform_pupil_reference,valid_lambda_x_complex_field,computed_against_ideal_full_na_reference,0.0,0.0,8.0,-1.6537782376196545e-16,0.0,2.8653710773310636e-05,0.0016208114276342247,50,0.0,8.0,0.00014422909288193107,0.0,0.0,0.00014422909288209644,0.0017361732605429268,0.3162478981305309,coarse,11,101,31,21,723261,reference,True,0.0,0.0,0.0,0.0,4.137160789762868e-05,4.137160789762868e-05,1.8983255211642812e-05,1.8983255211642812e-05,-0.028500685136755022,0.028500685136755022
200.0,0.05,ok,full_na_scalar_fixed_basis,True,False,False,sphere_mie_full_na,sphere_mie_angle_resolved_pupil_field,True,"[21, 41]",valid_lambda_x_complex_field,True,0.0,8.0,9.409347650341545e-06,5.724991951714788,0.0,26.956188396468615,0.014289703242932212,False,True,ideal_uniform_pupil_reference,valid_lambda_x_complex_field,computed_against_ideal_full_na_reference,0.0,0.0,8.0,1.485278909674828e-16,0.0,9.409347650193017e-06,0.000567337768682431,100,0.0,8.0,9.409347650341545e-06,0.0,0.0,9.409347650193017e-06,0.000567337768682431,0.05157466165911976,reference,21,201,41,31,5364891,reference,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
500.0,0.05,ok,full_na_scalar_fixed_basis,True,False,False,sphere_mie_full_na,sphere_mie_angle_resolved_pupil_field,True,"[21, 41]",valid_lambda_x_complex_field,True,0.0,8.0,-1.2717897124169517e-05,5.739178760062018,-1.1999999999999957,26.63582730797603,0.30290259454648244,False,True,ideal_uniform_pupil_reference,valid_lambda_x_complex_field,computed_against_ideal_full_na_reference,0.0,0.0,8.0,1.485278909674828e-16,0.0,-1.2717897124318044e-05,0.0014940450651825855,100,0.0,8.0,6.279353073254959e-05,0.0,0.0,6.279353073240107e-05,0.001717190005331284,0.3447485832672859,reference,21,201,41,31,5364891,reference,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
